time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-07T04:31:41.030Z,33.9616667,-117.089,14.47,0.95,ml,36,58,0.09192,0.25,ci,ci37848343,2018-01-07T04:35:23.867Z,"4km SW of Calimesa, CA",earthquake,0.36,0.89,0.254,29,automatic,ci,ci
2018-01-07T04:22:59.619Z,61.5852,-148.0096,25.5,1.3,ml,,,,0.96,ak,ak17968452,2018-01-07T04:30:00.795Z,"49km E of Lazy Mountain, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-07T04:14:29.060Z,33.4888333,-116.7893333,3.7,0.89,ml,37,37,0.08787,0.18,ci,ci37848335,2018-01-07T04:18:10.159Z,"9km NE of Aguanga, CA",earthquake,0.2,0.64,0.138,27,automatic,ci,ci
2018-01-07T04:04:35.013Z,60.5629,-151.2081,48.7,1.8,ml,,,,0.19,ak,ak17968448,2018-01-07T04:17:14.356Z,"2km ENE of Kenai, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-01-07T03:47:24.098Z,62.7547,-150.4772,80.6,1.9,ml,,,,0.52,ak,ak17968445,2018-01-07T04:04:47.906Z,"51km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-01-07T03:34:27.498Z,61.6619,-148.4773,10.8,1.4,ml,,,,0.6,ak,ak17968440,2018-01-07T03:37:34.124Z,"24km SE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-07T03:26:14.000Z,37.5486679,-118.8063354,1.9,2.14,md,28,132,0.04508,0.03,nc,nc72950101,2018-01-07T03:30:02.541Z,"11km W of Toms Place, CA",earthquake,0.25,0.67,0.18,25,automatic,nc,nc
2018-01-07T03:24:13.000Z,39.2253,-120.0792,11.7,0.7,ml,6,85.61,0.037,,nn,nn00617366,2018-01-07T03:26:54.304Z,"2km SW of Tahoe Vista, California",earthquake,,,,,automatic,nn,nn
2018-01-07T03:20:17.010Z,-4.378,134.1458,10,4.4,mb,,177,2.384,1.2,us,us1000c1m5,2018-01-07T03:39:33.040Z,"153km N of Dobo, Indonesia",earthquake,10.6,2,0.162,14,reviewed,us,us
2018-01-07T03:12:17.210Z,33.4865,-116.784,6.14,0.16,ml,12,224,0.0979,0.1,ci,ci37848327,2018-01-07T03:16:00.884Z,"9km ENE of Aguanga, CA",earthquake,0.56,0.88,0.085,5,automatic,ci,ci
2018-01-07T03:08:17.056Z,61.6618,-148.46,2.2,2,ml,,,,0.75,ak,ak17968437,2018-01-07T03:16:13.697Z,"25km SE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-07T02:54:20.363Z,65.6567,-147.8373,2.9,1.7,ml,,,,0.71,ak,ak17968432,2018-01-07T03:06:38.367Z,"89km N of College, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-07T02:39:30.970Z,6.811,126.9951,91.11,4.3,mb,,106,1.429,0.58,us,us1000c1m2,2018-01-07T03:06:24.040Z,"65km ESE of San Ignacio, Philippines",earthquake,7.8,9,0.116,21,reviewed,us,us
2018-01-07T02:32:54.200Z,33.6711667,-116.7328333,13.19,1.02,ml,33,65,0.04282,0.17,ci,ci37848303,2018-01-07T02:43:11.910Z,"8km S of Idyllwild, CA",earthquake,0.29,0.46,0.187,27,automatic,ci,ci
2018-01-07T02:24:06.680Z,55.0703,165.7061,35,5.7,mb,,87,4.636,0.93,us,us1000c1lw,2018-01-07T04:26:40.597Z,"22km SW of Nikol'skoye, Russia",earthquake,7.7,1.9,0.021,807,reviewed,us,us
